FECHA;I_R;IG1_R;IG2_R;IG3_R;I_C;IG1_C;IG2_C;IG3_C;U_R;UG1_R;UG2_R;UG3_R;U_C;UG1_C;UG2_C;UG3_C;IG1_R2;IG2_R2;IG3_R2;t;t2;PM10;PM10_1;PM10_2;PM10_3;PM10_4;PM10_5;PM25;PM25_1;PM25_2;PM25_3;PM25_4;PM25_5;T;T_1;T_2;T_3;P;P_1;P_2;P_3;HR;H_1;H_2;H_3;V;V_1;V_2;V_3;sen1;sen2;sen3;sen4;sen5;sen6;cos1;cos2;cos3;cos4;cos5;cos6;ene;feb;mar;abr;may;jun;jul;ago;sep;oct;nov;lu;ma;mi;ju;vi;sa;do
01-01-2013;1;0;0;1;2;0;2;0;84;31;45;8;14;1;10;3;0;0;1;1;1;31.666;39;33;34;44;31;6.6;15.8;4.2;7;7.1;4.3;21.6;16.1;17.2;16.2;0;0;0;0;52.5;54.2;57.2;57.2;3.6;5;5;5.8;0.017213356;0.034421612;0.051619667;0.068802427;0.085964799;0.103101697;0.999851839;0.999407401;0.998666816;0.997630305;0.996298175;0.99467082;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
02-01-2013;7;2;2;3;5;0;3;2;146;58;74;14;40;1;22;17;2;2;3;2;4;57.0908;31.666;39;33;34;44;11.8;6.6;15.8;4.2;7;7.1;18.8;21.6;16.1;17.2;0;0;0;0;63.2;52.5;54.2;57.2;2.9;3.6;5;5;0.034421612;0.068802427;0.103101697;0.137278772;0.171293144;0.2051045;0.999407401;0.997630305;0.99467082;0.990532452;0.985220107;0.97874008;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
03-01-2013;5;1;2;2;5;0;3;2;139;70;56;13;34;1;12;21;1;2;2;3;9;58.2775;57.0908;31.666;39;33;34;12.1;11.8;6.6;15.8;4.2;7;14.5;18.8;21.6;16.1;0;0;0;0;63.2;63.2;52.5;54.2;3.2;2.9;3.6;5;0.051619667;0.103101697;0.154308821;0.2051045;0.255353295;0.304921225;0.998666816;0.99467082;0.988022666;0.97874008;0.966847814;0.952377576;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
04-01-2013;6;3;2;1;7;0;2;5;161;86;59;16;24;0;14;10;3;2;0;4;16;54.8317;58.2775;57.0908;31.666;39;33;11.4;12.1;11.8;6.6;15.8;4.2;15.9;14.5;18.8;21.6;0;0;0;0;62.8;63.2;63.2;52.5;2.9;3.2;2.9;3.6;0.068802427;0.137278772;0.2051045;0.271958158;0.3375229;0.401487989;0.997630305;0.990532452;0.97874008;0.962309077;0.941317318;0.915864288;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
05-01-2013;0;0;0;0;0;0;0;0;177;53;111;13;17;2;8;7;0;0;0;5;25;32.0363;54.8317;58.2775;57.0908;31.666;39;4.4;11.4;12.1;11.8;6.6;15.8;19.4;15.9;14.5;18.8;0;0;0;0;53.8;62.8;63.2;63.2;4;2.9;3.2;2.9;0.085964799;0.171293144;0.255353295;0.3375229;0.417193603;0.49377555;0.996298175;0.985220107;0.966847814;0.941317318;0.908817637;0.869589389;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
06-01-2013;2;1;0;1;2;0;0;2;165;71;82;12;12;0;7;5;1;0;1;6;36;33.0622;32.0363;54.8317;58.2775;57.0908;31.666;5.4;4.4;11.4;12.1;11.8;6.6;16.5;19.4;15.9;14.5;1.7;0;0;0;64.8;53.8;62.8;63.2;6.8;4;2.9;3.2;0.103101697;0.2051045;0.304921225;0.401487989;0.49377555;0.580800273;0.99467082;0.97874008;0.952377576;0.915864288;0.869589389;0.814046094;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
07-01-2013;3;2;0;1;6;0;3;3;129;55;62;12;35;0;21;14;2;0;0;7;49;26.8524;33.0622;32.0363;54.8317;58.2775;57.0908;7.1;5.4;4.4;11.4;12.1;11.8;17.2;16.5;19.4;15.9;0;1.7;0;0;61;64.8;53.8;62.8;4.3;6.8;4;2.9;0.120208045;0.238672766;0.353676122;0.463550271;0.566701756;0.661634618;0.992748722;0.971100052;0.935367949;0.886070622;0.823923006;0.749826401;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
08-01-2013;2;0;1;1;5;0;3;2;153;67;69;17;29;0;17;12;0;0;1;8;64;42.6666;26.8524;33.0622;32.0363;54.8317;58.2775;6.9;7.1;5.4;4.4;11.4;12.1;16.1;17.2;16.5;19.4;0;0;1.7;0;59;61;64.8;53.8;5;4.3;6.8;4;0.137278772;0.271958158;0.401487989;0.523415607;0.635432301;0.735417023;0.990532452;0.962309077;0.915864288;0.852077521;0.772156584;0.677614789;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
09-01-2013;6;3;0;3;3;0;0;3;122;50;63;9;21;0;14;7;3;0;3;9;81;46.7083;42.6666;26.8524;33.0622;32.0363;54.8317;4.3;6.9;7.1;5.4;4.4;11.4;19.8;16.1;17.2;16.5;0;0;0;1.7;55;59;61;64.8;6.1;5;4.3;6.8;0.154308821;0.304921225;0.448229342;0.580800273;0.699458327;0.801361088;0.988022666;0.952377576;0.893918597;0.814046094;0.714673386;0.598180914;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
10-01-2013;2;2;0;0;4;0;2;2;111;46;56;9;24;0;16;8;2;0;0;10;100;47.6487;46.7083;42.6666;26.8524;33.0622;32.0363;9.9;4.3;6.9;7.1;5.4;4.4;21.6;19.8;16.1;17.2;0;0;0;0;60.2;55;59;61;5.4;6.1;5;4.3;0.171293144;0.3375229;0.49377555;0.635432301;0.758305808;0.858763958;0.985220107;0.941317318;0.869589389;0.772156584;0.651898996;0.512371412;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
